iter	Passed	Remaining
407	4362	6329
408	4366	6309
409	4370	6288
410	4373	6267
411	4376	6246
412	4381	6227
413	4386	6208
414	4390	6188
415	4393	6167
416	4396	6146
417	4402	6129
418	4405	6108
419	4408	6088
420	4412	6067
421	4415	6047
422	4419	6029
423	4423	6008
424	4425	5987
425	4429	5968
426	4433	5949
427	4440	5933
428	4443	5913
429	4448	5896
430	4451	5876
431	4453	5855
432	4455	5834
433	4457	5813
434	4460	5792
435	4462	5773
436	4465	5753
437	4469	5734
438	4471	5714
439	4473	5693
440	4477	5675
441	4480	5656
442	4482	5635
443	4484	5615
444	4487	5596
445	4489	5576
446	4492	5558
447	4496	5539
448	4498	5520
449	4500	5500
450	4502	5481
451	4504	5461
452	4507	5442
453	4510	5424
454	4512	5405
455	4514	5386
456	4516	5367
457	4519	5347
458	4522	5329
459	4524	5311
460	4526	5292
461	4529	5274
462	4531	5255
463	4534	5238
464	4538	5222
465	4541	5204
466	4544	5186
467	4546	5167
468	4548	5149
469	4550	5131
470	4552	5113
471	4554	5095
472	4558	5078
473	4561	5061
474	4563	5043
475	4565	5025
476	4567	5007
477	4570	4990
478	4572	4973
479	4574	4955
480	4576	4938
481	4579	4921
482	4582	4904
483	4585	4888
484	4587	4871
485	4589	4854
486	4591	4836
487	4594	4819
488	4596	4802
489	4598	4785
490	4600	4768
491	4602	4751
492	4604	4734
493	4605	4717
494	4607	4700
495	4609	4683
496	4611	4667
497	4614	4651
498	4616	4635
499	4618	4618
500	4620	4602
501	4622	4585
502	4624	4569
503	4626	4552
504	4628	4536
505	4630	4520
506	4632	4504
507	4634	4488
508	4635	4471
509	4637	4455
510	4639	4439
511	4641	4423
512	4643	4407
513	4645	4392
514	4647	4376
515	4649	4361
516	4651	4345
517	4653	4330
518	4655	4314
519	4657	4299
520	4659	4283
521	4661	4268
522	4663	4253
523	4665	4237
524	4667	4222
525	4669	4207
526	4671	4192
527	4673	4177
528	4675	4162
529	4677	4148
530	4679	4133
531	4681	4118
532	4683	4103
533	4685	4088
534	4687	4073
535	4689	4059
536	4691	4044
537	4693	4030
538	4695	4015
539	4697	4001
540	4698	3986
541	4700	3972
542	4702	3957
543	4704	3943
544	4707	3929
545	4708	3915
546	4710	3901
547	4712	3887
548	4715	3873
549	4717	3859
550	4718	3845
551	4720	3831
552	4722	3817
553	4724	3803
554	4726	3789
555	4727	3775
556	4729	3761
557	4731	3747
558	4732	3733
559	4734	3719
560	4736	3706
561	4738	3693
562	4740	3679
563	4742	3666
564	4744	3652
565	4745	3638
566	4747	3625
567	4749	3612
568	4750	3598
569	4752	3585
570	4754	3572
571	4756	3559
572	4758	3545
573	4759	3532
574	4761	3519
575	4762	3506
576	4764	3492
577	4766	3479
578	4768	3467
579	4770	3454
580	4771	3441
581	4773	3428
582	4775	3415
583	4776	3402
584	4778	3389
585	4780	3377
586	4781	3364
587	4783	3351
588	4785	3339
589	4786	3326
590	4788	3313
591	4789	3301
592	4791	3288
593	4793	3276
594	4794	3263
595	4796	3251
596	4798	3239
597	4800	3226
598	4802	3214
599	4803	3202
600	4805	3190
601	4806	3177
602	4808	3165
603	4809	3153
604	4810	3141
605	4812	3128
606	4814	3116
607	4815	3104
608	4816	3092
609	4818	3080
610	4819	3068
611	4821	3056
612	4822	3044
613	4824	3032
614	4826	3021
615	4827	3009
616	4829	2997
